algorithm,attempts,avg_cpu_percent,avg_memory_mb,ciphertext_bytes,cpu_system_micros,cpu_user_micros,decapsulate_time_ms,decrypt_time_ms,disk_io_bytes,encapsulate_time_ms,encrypt_time_ms,error,keygen_time_ms,latency_micros,max_rss_bytes,net_rx_bytes,net_tx_bytes,operation,parameter_set,public_key_bytes,secret_key_bytes,sign_time_ms,signature_bytes,storage_overhead_pct,throughput_ops_per_sec,timestamp_seconds_utc,verify_time_ms
Kyber768,1,,1.828125,,766,0,,,0,0.0,,,,0,1916928,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,1.828125,,775,0,,,0,0.0,,,,0,1916928,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,1.828125,,783,0,0.0,,0,,,,,0,1916928,38878234753,24741128822,Decapsulate,,1184,2400,,0,,0.0,1762751331,
RSA-2048,1,,1.828125,,792,0,,,0,,,,0.0,0,1916928,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,1.828125,,802,0,,,0,,,,0.0,0,1916928,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,1.828125,,811,0,,,0,0.0,,,,0,1916928,38878234753,24741128822,Encapsulate,,294,1192,,256,,0.0,1762751331,
ECDHE-P256,1,,1.828125,,821,0,,,0,,,,0.0,0,1916928,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,1.828125,,831,0,,,0,,,,0.0,0,1916928,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,1.828125,,840,0,,,0,0.0,,,,0,1916928,38878234753,24741128822,Encapsulate,,65,32,,0,,0.0,1762751331,
Dilithium2,1,,1.828125,,852,0,,,0,,,,0.003,3,1916928,38878234753,24741128822,Keygen,,1312,2528,,2420,,333333.3333333333,1762751331,
Dilithium2,1,,1.828125,,862,0,,,0,,,,,0,1916928,38878234753,24741128822,Sign,,1312,2528,0.0,2420,,0.0,1762751331,
Dilithium2,1,,1.828125,,871,0,,,0,,,,,0,1916928,38878234753,24741128822,Verify,,1312,2528,,2420,,0.0,1762751331,0.0
Dilithium3,1,,1.828125,,882,0,,,0,,,,0.002,2,1916928,38878234753,24741128822,Keygen,,1952,4000,,3293,,500000.0,1762751331,
Dilithium3,1,,1.828125,,891,0,,,0,,,,,0,1916928,38878234753,24741128822,Sign,,1952,4000,0.0,3293,,0.0,1762751331,
Dilithium3,1,,1.828125,,900,0,,,0,,,,,0,1916928,38878234753,24741128822,Verify,,1952,4000,,3293,,0.0,1762751331,0.0
ECDSA-P256,1,,1.828125,,909,0,,,0,,,,0.0,0,1916928,38878234753,24741128822,Keygen,,65,32,,72,,0.0,1762751331,
ECDSA-P256,1,,1.828125,,919,0,,,0,,,,,0,1916928,38878234753,24741128822,Sign,,65,32,0.0,72,,0.0,1762751331,
ECDSA-P256,1,,1.828125,,927,0,,,0,,,,,0,1916928,38878234753,24741128822,Verify,,65,32,,72,,0.0,1762751331,0.0
AES-GCM-256,1,,1.828125,1040,938,0,,,0,,0.002475,,,2,1916928,38878234753,24741128822,BulkEncrypt,,,,,,101.5625,500000.0,1762751331,
AES-GCM-256,1,,1.828125,1040,950,0,,0.002074,0,,,,,2,1916928,38878234753,24741128822,BulkDecrypt,,,,,,101.5625,500000.0,1762751331,
Kyber512,1,,1.96484375,,0,798,,,0,,,,0.005,5,2060288,38878234753,24741128822,Keygen,,800,1632,,0,,200000.0,1762751331,
Kyber512,1,,1.96484375,,0,835,,,0,,,,0.0,0,2060288,38878234753,24741128822,Keygen,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.96484375,,0,849,,,0,0.0,,,,0,2060288,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.96484375,,0,862,,,0,0.0,,,,0,2060288,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.96484375,,0,873,0.0,,0,,,,,0,2060288,38878234753,24741128822,Decapsulate,,800,1632,,0,,0.0,1762751331,
Kyber768,1,,1.96484375,,0,887,,,0,,,,0.001,1,2060288,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,1.96484375,,0,900,,,0,,,,0.001,1,2060288,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,1.96484375,,0,913,,,0,0.0,,,,0,2060288,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,1.96484375,,0,924,,,0,0.0,,,,0,2060288,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,1.96484375,,0,935,0.0,,0,,,,,0,2060288,38878234753,24741128822,Decapsulate,,1184,2400,,0,,0.0,1762751331,
